created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2020-10-08 17:00:00 UTC,14.2,25.69,31.71,5,-58,73,18,25.69
2020-10-08 18:00:00 UTC,14.07,24.92,29.68,25.26,-54.58,74.11,17.84,24.89
2020-10-08 19:00:00 UTC,10.41,18.96,22.57,54.97,-57.24,75.93,16.93,18.95
2020-10-08 20:00:00 UTC,165.25,267.38,291.51,113.48,-57.35,78.96,18.13,177.6
2020-10-08 21:00:00 UTC,56.92,82.33,87.8,152,-56.57,79.57,18.29,55.64
2020-10-08 22:00:00 UTC,9.09,17.12,19.89,7,-61,80,17,17.12
2020-10-08 23:00:00 UTC,129.71,179.05,187.67,38.15,-59.12,85.15,14.46,121.56
2020-10-15 17:00:00 UTC,3.15,5.19,6.05,14.5,-77.5,59,56.5,5.19
2020-10-15 18:00:00 UTC,1.57,2.74,3.32,29,-76.03,59.72,55.66,2.74
2020-10-15 19:00:00 UTC,1.29,2.29,2.9,88,-78.93,60.93,52.87,2.29
2020-10-15 20:00:00 UTC,1.32,2.42,3.09,148,-79.4,61.97,49.9,2.42
2020-10-15 21:00:00 UTC,1.71,2.79,3.29,208,-78.77,62.47,47.9,2.79
2020-10-15 22:00:00 UTC,3.1,4.76,5.32,268,-79.33,62.4,50.03,4.76
2020-10-15 23:00:00 UTC,2.81,4.14,4.65,328,-80.47,63.43,48.13,4.14
2020-10-16 00:00:00 UTC,3.37,4.84,5.19,388,-79.07,61.17,55.3,4.84
2020-10-16 01:00:00 UTC,3.56,5.03,5.62,448,-80.03,59.93,59.6,5.03
2020-10-16 02:00:00 UTC,4.49,6.24,6.87,508,-80.53,58.97,59.73,6.24
2020-10-16 03:00:00 UTC,6.68,9.21,9.99,568,-78.93,59,59.83,9.21
2020-10-16 04:00:00 UTC,5.24,7.28,7.95,628,-80.9,58.9,60.23,7.28
2020-10-16 05:00:00 UTC,5.75,8.11,8.77,688,-81.03,57.67,61.2,8.11
2020-10-16 06:00:00 UTC,5.31,7.59,8.38,748,-81.07,57.47,63.17,7.59
2020-10-16 07:00:00 UTC,6.14,8.79,9.72,808,-77.57,58.2,62.4,8.79
2020-10-16 08:00:00 UTC,7.88,10.92,11.95,868,-78.57,57.17,62.97,10.92
2020-10-16 09:00:00 UTC,10.03,14,15.25,928,-77.43,57.37,61.53,14
2020-10-16 10:00:00 UTC,9.53,13.25,14.52,988,-76.7,58.7,58.2,13.25
2020-10-16 11:00:00 UTC,8.14,11.23,12.19,1048,-77.9,57.27,59.93,11.23
2020-10-16 12:00:00 UTC,5.25,7.32,8.22,1108,-77.63,57.17,58.97,7.32
2020-10-16 13:00:00 UTC,1.62,2.72,3.18,1168,-78.7,58.83,53.3,2.72
2020-10-16 14:00:00 UTC,0.62,1.18,1.43,1228,-77.73,59,54.83,1.18
2020-10-16 15:00:00 UTC,0.62,1.22,1.55,1288,-78.37,58.97,58.63,1.22
2020-10-16 16:00:00 UTC,0.8,1.47,1.79,1348,-76.93,59.93,60.7,1.47
2020-10-16 17:00:00 UTC,1.02,1.8,2.05,1408,-77.33,60.77,62.63,1.8
2020-10-16 18:00:00 UTC,1.18,2.19,2.53,1468,-76.97,62.2,63.53,2.19
2020-10-16 19:00:00 UTC,0.86,1.55,1.81,1528,-80.33,65.13,61.93,1.55
2020-10-16 20:00:00 UTC,0.31,0.8,1.22,1588,-78.87,68.63,58.23,0.8
2020-10-16 21:00:00 UTC,0.62,1.34,1.56,1648,-78,70.13,55.5,1.34
2020-10-16 22:00:00 UTC,5.22,7.72,8.33,1708,-79.83,68.93,57.47,7.72
2020-10-16 23:00:00 UTC,0.18,0.3,0.45,1768,-80.23,69,58.83,0.3
2020-10-17 00:00:00 UTC,0.13,0.24,0.36,1828,-79.87,68.83,59.4,0.24
2020-10-17 01:00:00 UTC,0.23,0.52,0.66,1888,-81.13,67.97,61.37,0.52
2020-10-17 02:00:00 UTC,0.96,1.66,2.07,1948,-81.97,67.17,63.1,1.66
2020-10-17 03:00:00 UTC,3.35,4.93,5.52,2008,-79.6,65.8,65.6,4.93
2020-10-17 04:00:00 UTC,3.64,5.44,5.97,2068,-79.53,64.6,66.87,5.44
2020-10-17 05:00:00 UTC,1.18,2.35,3.14,2128,-78.9,61.73,68.27,2.35
2020-10-17 06:00:00 UTC,0.58,1.8,2.78,2188,-79.03,60.47,68.37,1.8
2020-10-17 07:00:00 UTC,0.36,1.44,2.37,2248,-80.77,60,68.77,1.44
2020-10-17 08:00:00 UTC,0.04,0.68,1.3,2308,-79.1,59.97,68.83,0.68
2020-10-17 09:00:00 UTC,0.16,0.75,1.28,2368,-77.9,60,68.23,0.75
2020-10-17 10:00:00 UTC,0.18,0.86,1.42,2428,-76.77,60,68.8,0.86
2020-10-17 11:00:00 UTC,0.19,0.85,1.41,2488,-77.03,59.87,67.47,0.85
2020-10-17 12:00:00 UTC,0.27,0.93,1.49,2548,-77.33,59.3,68.27,0.93
2020-10-17 13:00:00 UTC,0.65,1.59,2.42,2608,-76.13,59.67,67.63,1.59
2020-10-17 14:00:00 UTC,0.9,2.09,3.04,2668,-79.7,58.97,67.63,2.09
2020-10-17 15:00:00 UTC,0.51,1.4,2.19,2728,-79,59,67.73,1.4
2020-10-17 16:00:00 UTC,0.11,0.71,1.15,2788,-75.43,59,67.87,0.71
2020-10-17 17:00:00 UTC,0.14,0.73,1.26,2848,-78.17,59,67.3,0.73
2020-10-17 18:00:00 UTC,0.69,1.73,2.57,2908,-77.57,59.3,66.67,1.73
2020-10-17 19:00:00 UTC,1.04,2.73,4.16,2968,-75.63,59.93,65.3,2.73
2020-10-17 20:00:00 UTC,1.46,3.5,5.27,3028,-79.5,60.43,64.27,3.5
2020-10-17 21:00:00 UTC,2.06,4.39,6.47,3088,-78.97,61,65.27,4.39
2020-10-17 22:00:00 UTC,2.47,4.96,6.81,3148,-78.97,61,66.33,4.96
2020-10-17 23:00:00 UTC,2.66,5.26,6.93,3208,-77.87,61,65.3,5.26
2020-10-18 00:00:00 UTC,3.81,6.91,8.69,3268,-78.57,60.23,65.93,6.91
2020-10-18 01:00:00 UTC,5.32,8.64,10.53,3328,-81.67,59.27,67.37,8.64
2020-10-18 02:00:00 UTC,5.06,8.21,9.86,3388,-79.77,59,68.8,8.21
2020-10-18 03:00:00 UTC,5.25,8.56,10.41,3448,-78.37,59,68.03,8.56
2020-10-18 04:00:00 UTC,9.89,14.86,17.18,3508,-78.2,58.97,68,14.67
2020-10-18 05:00:00 UTC,5.34,8.89,10.82,3568,-76.97,59.87,65.77,8.89
2020-10-18 06:00:00 UTC,3.9,7,9.11,3628,-79.07,59.2,64.47,7
2020-10-18 07:00:00 UTC,4.12,7.34,9.65,3688,-76.97,59,63.57,7.34
2020-10-18 08:00:00 UTC,2.23,4.64,6.37,3748,-77.37,58.47,62.5,4.64
2020-10-18 09:00:00 UTC,1.2,3.05,4.64,3808,-77.57,58.87,61.57,3.05
2020-10-18 10:00:00 UTC,0.19,1.14,1.94,3868,-77.83,58,59.9,1.14
2020-10-18 11:00:00 UTC,0.3,1.35,2.05,3928,-78.8,57.97,58.3,1.35
2020-10-18 12:00:00 UTC,0.77,1.93,2.64,3988,-77.63,58,57.87,1.93
2020-10-18 13:00:00 UTC,0.68,1.71,2.41,4048,-78.33,57.93,61.73,1.71
2020-10-18 14:00:00 UTC,0.2,0.89,1.35,4108,-78.47,58.13,64.9,0.89
2020-10-18 15:00:00 UTC,0.03,0.42,0.67,4168,-77.8,59.37,65.23,0.42
2020-10-18 16:00:00 UTC,0.07,0.49,0.71,4228,-78.57,60,65.47,0.49
2020-10-18 17:00:00 UTC,0.07,0.44,0.66,4288,-76.33,60.27,67.53,0.44
2020-10-18 18:00:00 UTC,0.02,0.22,0.32,4348,-76.5,61.6,68.07,0.22
2020-10-18 19:00:00 UTC,0.45,0.88,1,4408,-75.6,62.9,68.5,0.88
2020-10-18 20:00:00 UTC,1.2,2,2.24,4468,-77.33,63.1,68.93,2
2020-10-18 21:00:00 UTC,1.18,1.92,2.2,4528,-74.8,64,68.4,1.92
2020-10-18 22:00:00 UTC,1.69,2.64,2.79,4588,-76.27,63.33,67.87,2.64
2020-10-18 23:00:00 UTC,1.29,2,2.22,4648,-79.1,63.5,68.73,2
2020-10-19 00:00:00 UTC,2.15,3.31,3.7,4708,-78.03,63.73,68.57,3.31
2020-10-19 01:00:00 UTC,4.01,6.36,7.09,4768,-76.2,62.93,68.73,6.36
2020-10-19 02:00:00 UTC,2.1,3.2,3.61,4828,-78.83,62.97,68.5,3.2
2020-10-19 03:00:00 UTC,4.13,6.62,7.59,4888,-77,62.17,68.13,6.62
2020-10-19 04:00:00 UTC,5.87,8.85,10.38,4948,-74.8,61.97,68.9,8.85
2020-10-19 05:00:00 UTC,3.95,5.67,6.27,5008,-76.4,62.97,68.73,5.67
2020-10-19 06:00:00 UTC,2.04,3.04,3.45,5068,-75,62.97,67.67,3.04
2020-10-19 07:00:00 UTC,0.18,0.54,0.78,5128,-77.27,61.83,66.13,0.54
2020-10-19 08:00:00 UTC,0.01,0.04,0.22,5188,-77.23,61,66.03,0.04
2020-10-19 09:00:00 UTC,0,0.04,0.26,5248,-75.23,61,65.13,0.04
2020-10-19 10:00:00 UTC,0,0.03,0.19,5308,-78.73,61,65.13,0.03
2020-10-19 11:00:00 UTC,0.01,0.08,0.28,5368,-79.17,61,65.03,0.08
2020-10-19 12:00:00 UTC,0.01,0.05,0.25,5428,-76.93,60.97,64.8,0.05
2020-10-19 13:00:00 UTC,0,0.03,0.17,5488,-75.87,60.23,65.6,0.03
2020-10-19 14:00:00 UTC,0,0.06,0.27,5548,-78.3,60,65.97,0.06
2020-10-19 15:00:00 UTC,0,0.1,0.35,5608,-81.33,59.93,66.2,0.1
2020-10-19 16:00:00 UTC,0.02,0.2,0.35,5668,-78.93,60.63,66.27,0.2
2020-10-19 17:00:00 UTC,0.05,0.41,0.62,5728,-78.9,62.1,63.2,0.41
2020-10-19 18:00:00 UTC,0.04,0.32,0.44,5788,-78.27,62.67,62.2,0.32
2020-10-19 19:00:00 UTC,0.04,0.32,0.58,5848,-79.63,62,63.1,0.32
2020-10-19 20:00:00 UTC,0.3,0.86,1.31,5908,-77.73,60.97,64.5,0.86
2020-10-19 21:00:00 UTC,0.38,1.21,1.91,5968,-78.03,59.2,66.6,1.21
2020-10-19 22:00:00 UTC,0.75,1.95,2.77,6028,-77.87,59.9,66.9,1.95
2020-10-19 23:00:00 UTC,0.76,2.11,3.21,6088,-75.8,59.13,67.1,2.11
2020-10-20 00:00:00 UTC,0.88,2.11,3.16,6148,-76.93,58.33,69.17,2.11
2020-10-20 01:00:00 UTC,1.66,3.32,4.37,6208,-76.23,58.03,69.13,3.32
2020-10-20 02:00:00 UTC,1.52,3.18,4.2,6268,-74.63,57.97,69.03,3.18
2020-10-20 03:00:00 UTC,1.5,3.19,4.21,6328,-77,58,69.07,3.19
